Position,Country,Score,Classification,KPIs-PC,KPIs-R,KPIs-E,KPIs-ICT,KPIs-GH,Region,ShowLabel,Label
161,Belize,20.08,Periphery AI Nation,15,,0.23127,"$123,299,500.00",9715,Central & South America,FALSE,
162,Eswatini,20.03,Periphery AI Nation,0,CA,0.20463,"$5,985,175.34",7975,Africa,FALSE,
163,Saint Kitts and Nevis,19.8,Periphery AI Nation,0,,,,1741,Central & South America,FALSE,
164,Mali,19.77,Periphery AI Nation,23.5,CA,1.02076,"$172,162,628.15",21292,Africa,FALSE,
165,Antigua and Barbuda,19.75,Periphery AI Nation,15.7,,0.12502,"$6,622,210.74",2570,Central & South America,FALSE,
166,Honduras,19.7,Periphery AI Nation,4,ED-,3.52467,"$36,388,048.86",103171,Central & South America,FALSE,
167,Mozambique,19.69,Periphery AI Nation,0,EA,2.6009,"$9,116,548.23",48751,Africa,FALSE,
168,Suriname,19.68,Periphery AI Nation,4.7,ED,0.58143,"$18,200,862.08",8887,Central & South America,FALSE,
169,Timor-Leste,19.63,Periphery AI Nation,0,ED,0.3169,"$6,501,444.41",3545,Indo-Pacific,FALSE,
170,Gambia (Republic of The),18.66,Periphery AI Nation,0,ED+,0.18469,"$1,479,038.09",8554,Africa,FALSE,
171,Dominica,18.64,Periphery AI Nation,6.2,,0.02688,"$3,209,453.33",1803,Central & South America,FALSE,
172,Saint Vincent and the Grenadines,18.33,Periphery AI Nation,12.2,,,"$3,014,697.41",2176,Central & South America,FALSE,
173,Burkina Faso,18.28,Periphery AI Nation,4.4,CA,0.61335,"$89,572,559.09",33834,Africa,FALSE,
174,Mauritania,18.24,Periphery AI Nation,3.3,EA,0.60481,"$2,831,044.33",16255,Africa,FALSE,
175,Nicaragua,18.05,Periphery AI Nation,0,EA,1.63901,"$252,300,000.00",69807,Central & South America,FALSE,
176,Grenada,17.83,Periphery AI Nation,0,,0.07406,"$5,457,399.26",3085,Central & South America,FALSE,
177,Congo,17.66,Periphery AI Nation,0,EA,0.99276,"$13,111,988.80",18243,Africa,FALSE,
178,Guinea,16.95,Periphery AI Nation,3.3,CA,1.2402,"$36,860,000.00",15644,Africa,FALSE,
179,Comoros,16.59,Periphery AI Nation,5.5,EA,0.03235,"$13,602,459.79",,Africa,FALSE,
180,Madagascar,16.42,Periphery AI Nation,0,EA,0.86391,"$294,407,364.21",81275,Africa,FALSE,
181,Equatorial Guinea,16.15,Periphery AI Nation,3.2,EA,0.40111,,2289,Africa,FALSE,
182,Sao Tome and Principe,16.15,Periphery AI Nation,7.4,ED,0.04288,"$493,541.19",859,Africa,FALSE,
183,Sudan,15.41,Periphery AI Nation,0,CA,3.08729,"$912,664.03",49732,Africa,FALSE,
184,Eritrea,15.02,Periphery AI Nation,0,CA,0.20529,"$8,241,677.41",1628,Africa,FALSE,
185,Yemen,14.92,Periphery AI Nation,6.3,CA,1.67775,"$118,100,000.00",146772,Middle East & Central Asia,FALSE,
186,Chad,14.88,Periphery AI Nation,8,EA,0.3938,,6676,Africa,FALSE,
187,Sierra Leone,14.61,Periphery AI Nation,0,EA+,0.23463,"$1,569,039.27",16670,Africa,FALSE,
188,Afghanistan,14.13,Periphery AI Nation,0,CA,0.67248,"$54,766,062.19",59957,Middle East & Central Asia,FALSE,
189,South Sudan,13.56,Periphery AI Nation,0,CA,0.074,"$35,640,000.00",7034,Africa,FALSE,
190,Guinea Bissau,13.18,Periphery AI Nation,4.2,CA+,0.028,"$14,974,784.23",1521,Africa,FALSE,
191,Liberia,12.77,Periphery AI Nation,0,ED,0.18614,,11954,Africa,FALSE,
192,Haiti,12.65,Periphery AI Nation,0,CA,0.48175,"$2,000,000.00",29835,Central & South America,FALSE,
193,Niger,12.33,Periphery AI Nation,4.2,CA,0.5206,"$70,015,402.39",9598,Africa,TRUE,Niger
194,Central African Republic,11.21,Periphery AI Nation,0,,,,868,Africa,FALSE,
195,Burundi,11.07,Periphery AI Nation,0,EA,0.22079,"$4,259,512.43",9617,Africa,FALSE,
